-22.0,-9.0,-6.0,-1.0,21.0,26.0,-2.0,5.0,5.0,0.0,1.0,2.0,-20.0,-51.0,-8.0,-9.0,0.0,-3.0,-6.0,-8.0,12.0,7.0,1.0,1.0,6.0,2.0,1.0,-3.0,-17.0,-15.0,-1.0,9.0,15.0,5.0,1.0,-1.0,-4.0,-37.0,-9.0,-7.0,4.0,-6.0,0.0,2.0,-3.0,-2.0,-4.0,-3.0,-29.0,0.0,3.0,6.0,7.0,12.0,7.0,-10.0,-15.0,-6.0,-3.0,3.0,20.0,25.0,1.0,1.0,3
-7.0,0.0,1.0,0.0,-13.0,-18.0,0.0,-9.0,-6.0,-2.0,-3.0,-4.0,4.0,-12.0,-9.0,-4.0,16.0,0.0,1.0,-2.0,-4.0,-34.0,0.0,-3.0,-5.0,-4.0,-3.0,-1.0,-12.0,-4.0,-8.0,-16.0,-4.0,1.0,1.0,1.0,2.0,-16.0,8.0,7.0,-7.0,-6.0,-5.0,0.0,37.0,32.0,2.0,4.0,-1.0,7.0,6.0,4.0,-34.0,-40.0,3.0,-1.0,11.0,-4.0,-5.0,-4.0,3.0,-8.0,-7.0,-3.0,3
-6.0,-6.0,-6.0,-8.0,25.0,43.0,-4.0,7.0,6.0,1.0,2.0,3.0,-9.0,-28.0,12.0,2.0,6.0,13.0,2.0,2.0,3.0,10.0,6.0,8.0,-7.0,-4.0,-4.0,-5.0,-6.0,-15.0,0.0,1.0,-6.0,2.0,3.0,9.0,10.0,19.0,4.0,-12.0,-3.0,-3.0,-5.0,-11.0,-4.0,-69.0,-18.0,-2.0,9.0,-6.0,-1.0,3.0,14.0,90.0,11.0,3.0,2.0,1.0,3.0,-1.0,1.0,9.0,4.0,4.0,3
2.0,1.0,1.0,1.0,0.0,-23.0,2.0,-6.0,-1.0,-2.0,-1.0,-7.0,-10.0,2.0,2.0,-3.0,-2.0,-12.0,-8.0,-3.0,-4.0,-61.0,-15.0,-1.0,-27.0,1.0,2.0,2.0,-3.0,13.0,-1.0,-3.0,-2.0,-6.0,-4.0,-4.0,-5.0,0.0,1.0,-2.0,1.0,3.0,1.0,-2.0,-3.0,10.0,-3.0,-13.0,8.0,3.0,3.0,3.0,-2.0,-8.0,6.0,16.0,-3.0,-1.0,-1.0,-3.0,0.0,-3.0,4.0,3.0,3
0.0,3.0,4.0,5.0,1.0,25.0,-9.0,0.0,0.0,1.0,3.0,2.0,-10.0,-7.0,13.0,5.0,0.0,-3.0,-4.0,-6.0,-7.0,-2.0,-7.0,-11.0,8.0,1.0,-1.0,-1.0,2.0,10.0,-3.0,-10.0,-7.0,0.0,-3.0,-2.0,-8.0,-35.0,-2.0,20.0,-3.0,-7.0,-1.0,6.0,18.0,106.0,11.0,-1.0,10.0,-2.0,0.0,2.0,24.0,27.0,2.0,1.0,6.0,2.0,1.0,-3.0,-20.0,-42.0,-4.0,2.0,3
-11.0,-2.0,-5.0,1.0,-7.0,-11.0,-4.0,-23.0,-9.0,0.0,-1.0,-3.0,-18.0,-26.0,-7.0,4.0,-9.0,0.0,-1.0,-1.0,1.0,42.0,8.0,5.0,8.0,3.0,4.0,7.0,2.0,-3.0,6.0,-8.0,1.0,0.0,0.0,-2.0,-8.0,6.0,-3.0,1.0,5.0,4.0,2.0,-1.0,-11.0,-46.0,-7.0,1.0,-10.0,-9.0,-5.0,-3.0,7.0,-32.0,-20.0,-4.0,9.0,1.0,2.0,8.0,21.0,41.0,15.0,9.0,3
-20.0,1.0,2.0,-2.0,-6.0,-12.0,13.0,1.0,19.0,3.0,0.0,4.0,17.0,36.0,0.0,3.0,-3.0,-2.0,-5.0,-7.0,-6.0,-23.0,-2.0,-9.0,-14.0,-6.0,-5.0,-2.0,23.0,0.0,-7.0,26.0,3.0,1.0,0.0,-7.0,-49.0,-29.0,-14.0,-14.0,-11.0,-2.0,-1.0,2.0,6.0,19.0,6.0,2.0,5.0,2.0,4.0,2.0,7.0,-2.0,6.0,8.0,-4.0,-4.0,-3.0,-3.0,15.0,0.0,-1.0,-2.0,3
17.0,-2.0,-1.0,-5.0,-4.0,1.0,-8.0,6.0,-24.0,1.0,0.0,-1.0,1.0,-44.0,-5.0,-25.0,23.0,1.0,1.0,4.0,11.0,53.0,7.0,9.0,0.0,-2.0,-3.0,-4.0,4.0,-1.0,-3.0,12.0,3.0,0.0,0.0,-4.0,-8.0,6.0,-5.0,-5.0,14.0,2.0,2.0,5.0,8.0,53.0,6.0,10.0,-16.0,-4.0,-4.0,-2.0,-1.0,-12.0,-6.0,-6.0,0.0,-1.0,-5.0,-8.0,-7.0,-30.0,-7.0,-5.0,3
0.0,-2.0,-2.0,1.0,17.0,-5.0,4.0,-4.0,-3.0,-8.0,-6.0,-5.0,-2.0,-21.0,-19.0,-11.0,-8.0,1.0,3.0,0.0,6.0,4.0,12.0,-1.0,4.0,0.0,1.0,0.0,-39.0,3.0,4.0,-5.0,-3.0,-2.0,-3.0,2.0,12.0,17.0,-2.0,-9.0,-7.0,-2.0,-2.0,-4.0,3.0,12.0,7.0,-3.0,28.0,1.0,-1.0,-1.0,7.0,-12.0,-13.0,1.0,8.0,-3.0,-6.0,-3.0,-4.0,-26.0,-5.0,-2.0,3
-9.0,4.0,6.0,7.0,13.0,18.0,15.0,11.0,6.0,-2.0,0.0,1.0,-13.0,-16.0,-1.0,11.0,-20.0,-4.0,-6.0,-8.0,-13.0,-24.0,-10.0,-2.0,-2.0,4.0,4.0,4.0,6.0,20.0,4.0,3.0,12.0,2.0,0.0,2.0,0.0,12.0,-1.0,-10.0,-3.0,-5.0,-2.0,-3.0,0.0,-26.0,-11.0,4.0,-8.0,-2.0,0.0,3.0,-15.0,12.0,2.0,-5.0,-1.0,0.0,0.0,-1.0,1.0,-67.0,-1.0,-5.0,3
