,open,high,low,close,adjclose,volume,ticker
1996-01-01,18.691146850585938,18.97892189025879,18.540184020996094,18.823240280151367,12.409934997558594,43733533.0,SBIN.NS
1996-01-02,18.894004821777344,18.964767456054688,17.738191604614258,18.224105834960938,12.014931678771973,56167280.0,SBIN.NS
1996-01-03,18.327892303466797,18.56848907470703,17.64383888244629,17.738191604614258,11.69457721710205,68296318.0,SBIN.NS
1996-01-04,17.50231170654297,17.832542419433594,17.22397232055664,17.676862716674805,11.654138565063477,86073880.0,SBIN.NS
1996-01-05,17.738191604614258,17.78536605834961,17.45985221862793,17.57779312133789,11.588825225830078,76613039.0,SBIN.NS
1996-01-08,17.478723526000977,17.64383888244629,16.922046661376953,17.063573837280273,11.24980354309082,55395172.0,SBIN.NS
1996-01-09,16.889022827148438,18.681711196899414,16.705036163330078,17.99765968322754,11.86563777923584,82057540.0,SBIN.NS
1996-01-10,17.407958984375,17.714603424072266,17.05413818359375,17.17207908630371,11.321342468261719,54360749.0,SBIN.NS
1996-01-11,16.983375549316406,17.926895141601562,16.983375549316406,17.82782554626465,11.753666877746582,65973105.0,SBIN.NS
1996-01-12,17.879718780517578,18.233539581298828,17.573074340820312,17.837261199951172,11.759891510009766,102152486.0,SBIN.NS
1996-01-15,18.02124786376953,18.200517654418945,17.78536605834961,17.893871307373047,11.797210693359375,68169665.0,SBIN.NS
1996-01-16,17.90330696105957,19.530881881713867,17.78536605834961,18.27128028869629,12.04603099822998,92497161.0,SBIN.NS
1996-01-17,17.856130599975586,17.974071502685547,17.455135345458984,17.521181106567383,11.55150032043457,65477620.0,SBIN.NS
1996-01-18,17.31832504272461,17.624969482421875,17.124902725219727,17.403240203857422,11.473743438720703,67620657.0,SBIN.NS
1996-01-19,17.29001808166504,17.67214584350586,17.29001808166504,17.610815048217773,11.610596656799316,47652365.0,SBIN.NS
1996-01-22,17.738191604614258,18.313739776611328,17.700450897216797,18.224105834960938,12.014931678771973,81512772.0,SBIN.NS
